cause,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,ratio,mur_male,mur_female,mur_persons,icd_code,data_year
CHAPTER V Mental and behavioural disorders (F00-F99),no.,4981,7356,12337,24525,22368,46893,3.8,4.923710098373821,3.040783034257749,3.801005106589933,F00-F99,2023
"Organic, including symptomatic, mental disorders (F00-F09)",no.,4511,7112,11623,11660,15320,26980,2.3,2.5847927288849477,2.154105736782902,2.3212595715391897,F00-F09,2023
Vascular dementia (F01),no.,979,1113,2092,2300,2351,4651,2.2,2.3493360572012256,2.1123090745732256,2.223231357552581,F01,2023
Unspecified dementia (F03),no.,3506,5953,9459,8052,11714,19766,2.1,2.2966343411294923,1.9677473542751553,2.0896500687176234,F03,2023
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",no.,0,0,0,8,0,8,NA,NA,NA,NA,F04,2023
"Delirium, not induced by alcohol and other psychoactive substances (F05)",no.,19,43,62,1249,1200,2449,39.5,65.73684210526316,27.906976744186046,39.5,F05,2023
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),no.,6,3,9,35,37,72,8,5.833333333333333,12.333333333333334,8,F06,2023
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",no.,1,0,1,6,3,9,9,6,NA,9,F07,2023
Unspecified organic or symptomatic mental disorder (F09),no.,0,0,0,10,15,25,NA,NA,NA,NA,F09,2023
Mental and behavioural disorders due to psychoactive substance use (F10-F19),no.,394,109,503,7752,2714,10466,20.8,19.6751269035533,24.89908256880734,20.807157057654077,F10-F19,2023
Mental and behavioural disorders due to use of alcohol (F10),no.,358,92,450,3139,921,4060,9,8.768156424581006,10.01086956521739,9.022222222222222,F10,2023
Mental and behavioural disorders due to use of opioids (F11),no.,4,1,5,384,134,518,103.6,96,134,103.6,F11,2023
Mental and behavioural disorders due to use of cannabinoids (F12),no.,0,0,0,502,120,622,NA,NA,NA,NA,F12,2023
Mental and behavioural disorders due to use of sedatives or hypnotics (F13),no.,2,0,2,101,40,141,70.5,50.5,NA,70.5,F13,2023
Mental and behavioural disorders due to use of cocaine (F14),no.,0,0,0,91,13,104,NA,NA,NA,NA,F14,2023
"Mental and behavioural disorders due to use of other stimulants, including caffeine (F15)",no.,12,4,16,846,217,1063,66.4,70.5,54.25,66.4375,F15,2023
Mental and behavioural disorders due to use of hallucinogens (F16),no.,0,0,0,21,1,22,NA,NA,NA,NA,F16,2023
Mental and behavioural disorders due to use of tobacco (F17),no.,2,5,7,2138,1089,3227,461,1069,217.8,461,F17,2023
Mental and behavioural disorders due to use of volatile solvents (F18),no.,0,0,0,18,5,23,NA,NA,NA,NA,F18,2023
Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances (F19),no.,16,7,23,512,174,686,29.8,32,24.857142857142858,29.82608695652174,F19,2023
"Schizophrenia, schizotypal and delusional disorders (F20-F29)",no.,31,38,69,900,582,1482,21.5,29.032258064516128,15.31578947368421,21.47826086956522,F20-F29,2023
Schizophrenia (F20),no.,27,28,55,693,434,1127,20.5,25.666666666666668,15.5,20.490909090909092,F20,2023
Schizotypal disorder (F21),no.,0,0,0,1,0,1,NA,NA,NA,NA,F21,2023
Persistent delusional disorders (F22),no.,0,1,1,72,28,100,100,NA,28,100,F22,2023
Acute and transient psychotic disorders (F23),no.,0,0,0,1,1,2,NA,NA,NA,NA,F23,2023
Induced delusional disorder (F24),no.,0,0,0,0,0,0,NA,NA,NA,NA,F24,2023
Schizoaffective disorders (F25),no.,4,7,11,80,82,162,14.7,20,11.714285714285714,14.727272727272727,F25,2023
Other nonorganic psychotic disorders (F28),no.,0,0,0,0,0,0,NA,NA,NA,NA,F28,2023
Unspecified nonorganic psychosis (F29),no.,0,2,2,53,37,90,45,NA,18.5,45,F29,2023
Mood [affective] disorders (F30-F39),no.,31,61,92,2241,2065,4306,46.8,72.29032258064517,33.85245901639344,46.80434782608695,F30-F39,2023
Manic episode (F30),no.,1,0,1,2,1,3,3,2,NA,3,F30,2023
