cause_icd10,unit,reported_alone,with_1_other,with_2_other,with_3_other,with_4_other,with_5_plus,icd10_code,cause_name,is_chapter,is_total
Total deaths,no.,36870,37313,34430,26824,51831,3.5,NA,Total deaths,FALSE,TRUE
CHAPTER I Certain infectious and parasitic diseases (A00-B99),no.,363,664,674,530,877,3.6,A00-B99,CHAPTER I Certain infectious and parasitic diseases,TRUE,FALSE
Intestinal infectious diseases  (A00-A09),no.,24,59,86,71,174,4.3,A00-A09,Intestinal infectious diseases,FALSE,FALSE
Cholera (A00),no.,0,0,0,0,0,NA,A00,Cholera,FALSE,FALSE
Typhoid and paratyphoid fevers (A01),no.,0,0,0,0,0,NA,A01,Typhoid and paratyphoid fevers,FALSE,FALSE
Other salmonella infections (A02),no.,0,0,2,2,3,4.9,A02,Other salmonella infections,FALSE,FALSE
Shigellosis (A03),no.,0,0,0,0,0,NA,A03,Shigellosis,FALSE,FALSE
Other bacterial intestinal infections (A04),no.,5,14,18,19,39,4.2,A04,Other bacterial intestinal infections,FALSE,FALSE
"Other bacterial foodborne intoxications, not elsewhere classified (A05)",no.,0,1,0,0,0,2,A05,"Other bacterial foodborne intoxications, not elsewhere classified",FALSE,FALSE
Amoebiasis (A06),no.,0,0,0,0,0,NA,A06,Amoebiasis,FALSE,FALSE
Other protozoal intestinal diseases (A07),no.,0,0,0,0,0,NA,A07,Other protozoal intestinal diseases,FALSE,FALSE
Viral and other specified intestinal infections (A08),no.,0,7,2,5,14,4.7,A08,Viral and other specified intestinal infections,FALSE,FALSE
Other gastroenteritis and colitis of infectious and unspecified origin (A09),no.,19,37,64,45,118,4.3,A09,Other gastroenteritis and colitis of infectious and unspecified origin,FALSE,FALSE
Tuberculosis  (A15-A19),no.,6,8,9,7,17,4.1,A15-A19,Tuberculosis,FALSE,FALSE
"Respiratory tuberculosis, bacteriologically and histologically confirmed (A15)",no.,0,0,0,0,1,9,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",FALSE,FALSE
"Respiratory tuberculosis, not confirmed bacteriologically or histologically (A16)",no.,6,7,7,6,12,3.9,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",FALSE,FALSE
Tuberculosis of nervous system (A17),no.,0,0,1,0,1,4.5,A17,Tuberculosis of nervous system,FALSE,FALSE
Tuberculosis of other organs (A18),no.,0,0,0,0,1,9,A18,Tuberculosis of other organs,FALSE,FALSE
Miliary tuberculosis (A19),no.,0,1,1,1,2,4.2,A19,Miliary tuberculosis,FALSE,FALSE
Certain zoonotic bacterial diseases  (A20-A28),no.,3,1,1,2,3,3.7,A20-A28,Certain zoonotic bacterial diseases,FALSE,FALSE
Plague (A20),no.,0,0,0,0,0,NA,A20,Plague,FALSE,FALSE
Tularaemia (A21),no.,0,0,0,0,0,NA,A21,Tularaemia,FALSE,FALSE
Anthrax (A22),no.,0,0,0,0,0,NA,A22,Anthrax,FALSE,FALSE
Brucellosis (A23),no.,0,0,0,0,0,NA,A23,Brucellosis,FALSE,FALSE
Glanders and melioidosis (A24),no.,3,1,1,1,3,3.7,A24,Glanders and melioidosis,FALSE,FALSE
Rat-bite fevers (A25),no.,0,0,0,0,0,NA,A25,Rat-bite fevers,FALSE,FALSE
Erysipeloid (A26),no.,0,0,0,0,0,NA,A26,Erysipeloid,FALSE,FALSE
Leptospirosis (A27),no.,0,0,0,0,0,NA,A27,Leptospirosis,FALSE,FALSE
"Other zoonotic bacterial diseases, not elsewhere classified (A28)",no.,0,0,0,1,0,4,A28,"Other zoonotic bacterial diseases, not elsewhere classified",FALSE,FALSE
Other bacterial diseases  (A30-A49),no.,257,520,465,323,437,3.3,A30-A49,Other bacterial diseases,FALSE,FALSE
Leprosy [Hansen's disease] (A30),no.,0,0,0,0,0,NA,A30,Leprosy [Hansen's disease],FALSE,FALSE
Infection due to other mycobacteria (A31),no.,5,2,6,6,5,3.3,A31,Infection due to other mycobacteria,FALSE,FALSE
Listeriosis (A32),no.,0,1,1,0,1,3.3,A32,Listeriosis,FALSE,FALSE
Tetanus neonatorum (A33),no.,0,0,0,0,0,NA,A33,Tetanus neonatorum,FALSE,FALSE
Obstetrical tetanus (A34),no.,0,0,0,0,0,NA,A34,Obstetrical tetanus,FALSE,FALSE
Other tetanus (A35),no.,0,0,0,0,0,NA,A35,Other tetanus,FALSE,FALSE
Diphtheria (A36),no.,0,0,0,0,0,NA,A36,Diphtheria,FALSE,FALSE
Whooping cough (A37),no.,0,0,1,0,4,5.2,A37,Whooping cough,FALSE,FALSE
Scarlet fever (A38),no.,0,0,0,0,0,NA,A38,Scarlet fever,FALSE,FALSE
Meningococcal infection (A39),no.,1,2,1,1,1,3,A39,Meningococcal infection,FALSE,FALSE
Streptococcal sepsis (A40),no.,8,9,14,5,10,3.1,A40,Streptococcal sepsis,FALSE,FALSE
Other sepsis (A41),no.,215,442,375,258,328,3.2,A41,Other sepsis,FALSE,FALSE
Actinomycosis (A42),no.,0,0,1,0,0,3,A42,Actinomycosis,FALSE,FALSE
Nocardiosis (A43),no.,0,0,1,0,4,5.4,A43,Nocardiosis,FALSE,FALSE
