cause_icd10,unit,mc_count_male,mc_count_female,mc_count_persons,mc_asr_male,mc_asr_female,mc_asr_persons,icd10_code,cause_name,is_chapter,is_total
Total deaths,no.,98467,88801,187268,598.8,426.6,507.8,NA,Total deaths,FALSE,TRUE
CHAPTER I Certain infectious and parasitic diseases (A00-B99),no.,10177,8791,18968,61.1,42.2,50.9,A00-B99,CHAPTER I Certain infectious and parasitic diseases,TRUE,FALSE
Intestinal infectious diseases  (A00-A09),no.,419,522,941,2.5,2.4,2.5,A00-A09,Intestinal infectious diseases,FALSE,FALSE
Cholera (A00),no.,0,0,0,NA,NA,NA,A00,Cholera,FALSE,FALSE
Typhoid and paratyphoid fevers (A01),no.,0,0,0,NA,NA,NA,A01,Typhoid and paratyphoid fevers,FALSE,FALSE
Other salmonella infections (A02),no.,8,6,14,NA,NA,NA,A02,Other salmonella infections,FALSE,FALSE
Shigellosis (A03),no.,0,1,1,NA,NA,NA,A03,Shigellosis,FALSE,FALSE
Other bacterial intestinal infections (A04),no.,147,141,288,0.9,0.7,0.8,A04,Other bacterial intestinal infections,FALSE,FALSE
"Other bacterial foodborne intoxications, not elsewhere classified (A05)",no.,1,1,2,NA,NA,NA,A05,"Other bacterial foodborne intoxications, not elsewhere classified",FALSE,FALSE
Amoebiasis (A06),no.,0,0,0,NA,NA,NA,A06,Amoebiasis,FALSE,FALSE
Other protozoal intestinal diseases (A07),no.,1,0,1,NA,NA,NA,A07,Other protozoal intestinal diseases,FALSE,FALSE
Viral and other specified intestinal infections (A08),no.,34,33,67,0.2,0.2,0.2,A08,Viral and other specified intestinal infections,FALSE,FALSE
Other gastroenteritis and colitis of infectious and unspecified origin (A09),no.,237,346,583,1.4,1.6,1.5,A09,Other gastroenteritis and colitis of infectious and unspecified origin,FALSE,FALSE
Tuberculosis  (A15-A19),no.,75,39,114,0.5,0.2,0.3,A15-A19,Tuberculosis,FALSE,FALSE
"Respiratory tuberculosis, bacteriologically and histologically confirmed (A15)",no.,0,1,1,NA,NA,NA,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",FALSE,FALSE
"Respiratory tuberculosis, not confirmed bacteriologically or histologically (A16)",no.,66,35,101,0.4,0.2,0.3,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",FALSE,FALSE
Tuberculosis of nervous system (A17),no.,2,2,4,NA,NA,NA,A17,Tuberculosis of nervous system,FALSE,FALSE
Tuberculosis of other organs (A18),no.,2,1,3,NA,NA,NA,A18,Tuberculosis of other organs,FALSE,FALSE
Miliary tuberculosis (A19),no.,5,2,7,NA,NA,NA,A19,Miliary tuberculosis,FALSE,FALSE
Certain zoonotic bacterial diseases  (A20-A28),no.,14,8,22,NA,NA,0.1,A20-A28,Certain zoonotic bacterial diseases,FALSE,FALSE
Plague (A20),no.,0,0,0,NA,NA,NA,A20,Plague,FALSE,FALSE
Tularaemia (A21),no.,0,0,0,NA,NA,NA,A21,Tularaemia,FALSE,FALSE
Anthrax (A22),no.,0,0,0,NA,NA,NA,A22,Anthrax,FALSE,FALSE
Brucellosis (A23),no.,0,0,0,NA,NA,NA,A23,Brucellosis,FALSE,FALSE
Glanders and melioidosis (A24),no.,12,6,18,NA,NA,NA,A24,Glanders and melioidosis,FALSE,FALSE
Rat-bite fevers (A25),no.,0,0,0,NA,NA,NA,A25,Rat-bite fevers,FALSE,FALSE
Erysipeloid (A26),no.,1,0,1,NA,NA,NA,A26,Erysipeloid,FALSE,FALSE
Leptospirosis (A27),no.,0,0,0,NA,NA,NA,A27,Leptospirosis,FALSE,FALSE
