cause_icd10,n_male,n_female,n_persons,crude_rate_male,crude_rate_female,crude_rate_persons,asr_male,asr_female,asr_persons,ypll_male,ypll_female,ypll_persons,state,state_abbr,year,icd10_code,cause_name,is_chapter,is_total
Total deaths,98467,88801,187268,729.1,648.2,688.4,598.8,426.6,507.8,647278,365119,1009187,Australia,AUS,2024,NA,Total deaths,FALSE,TRUE
CHAPTER I Certain infectious and parasitic diseases (A00-B99),1532,1576,3108,11.3,11.5,11.4,9.2,7.3,8.2,7133,4546,11640,Australia,AUS,2024,A00-B99,CHAPTER I Certain infectious and parasitic diseases,TRUE,FALSE
Intestinal infectious diseases  (A00-A09),158,256,414,1.2,1.9,1.5,0.9,1.2,1.1,525,573,1105,Australia,AUS,2024,A00-A09,Intestinal infectious diseases,FALSE,FALSE
Cholera (A00),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A00,Cholera,FALSE,FALSE
Typhoid and paratyphoid fevers (A01),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A01,Typhoid and paratyphoid fevers,FALSE,FALSE
Other salmonella infections (A02),6,1,7,NA,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,A02,Other salmonella infections,FALSE,FALSE
Shigellosis (A03),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A03,Shigellosis,FALSE,FALSE
Other bacterial intestinal infections (A04),38,57,95,0.3,0.4,0.3,0.2,0.3,0.2,68,118,187,Australia,AUS,2024,A04,Other bacterial intestinal infections,FALSE,FALSE
"Other bacterial foodborne intoxications, not elsewhere classified (A05)",0,1,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A05,"Other bacterial foodborne intoxications, not elsewhere classified",FALSE,FALSE
Amoebiasis (A06),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A06,Amoebiasis,FALSE,FALSE
