cause_icd10,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,extra_1,icd10_code,cause_name,is_chapter,is_total,ratio_persons,ratio_male,ratio_female
Total deaths,no.,98467,88801,187268,350271,302539,652810,3.5,NA,Total deaths,FALSE,TRUE,3.4859666360510073,3.5572425279535276,3.4069323543653787
CHAPTER I Certain infectious and parasitic diseases (A00-B99),no.,1532,1576,3108,10940,9427,20367,6.6,A00-B99,CHAPTER I Certain infectious and parasitic diseases,TRUE,FALSE,6.553088803088803,7.140992167101827,5.981598984771574
Intestinal infectious diseases  (A00-A09),no.,158,256,414,431,528,959,2.2999999999999998,A00-A09,Intestinal infectious diseases,FALSE,FALSE,2.316425120772947,2.7278481012658227,2.0625
Cholera (A00),no.,0,0,0,0,0,0,—,A00,Cholera,FALSE,FALSE,NA,NA,NA
Typhoid and paratyphoid fevers (A01),no.,0,0,0,0,0,0,—,A01,Typhoid and paratyphoid fevers,FALSE,FALSE,NA,NA,NA
Other salmonella infections (A02),no.,6,1,7,9,6,15,2.1,A02,Other salmonella infections,FALSE,FALSE,2.142857142857143,1.5,6
Shigellosis (A03),no.,0,0,0,0,1,1,—,A03,Shigellosis,FALSE,FALSE,NA,NA,NA
Other bacterial intestinal infections (A04),no.,38,57,95,148,141,289,3,A04,Other bacterial intestinal infections,FALSE,FALSE,3.042105263157895,3.8947368421052633,2.473684210526316
"Other bacterial foodborne intoxications, not elsewhere classified (A05)",no.,0,1,1,1,1,2,2,A05,"Other bacterial foodborne intoxications, not elsewhere classified",FALSE,FALSE,2,NA,1
Amoebiasis (A06),no.,0,0,0,0,0,0,—,A06,Amoebiasis,FALSE,FALSE,NA,NA,NA
Other protozoal intestinal diseases (A07),no.,0,0,0,1,0,1,—,A07,Other protozoal intestinal diseases,FALSE,FALSE,NA,NA,NA
Viral and other specified intestinal infections (A08),no.,12,16,28,34,33,67,2.4,A08,Viral and other specified intestinal infections,FALSE,FALSE,2.392857142857143,2.8333333333333335,2.0625
Other gastroenteritis and colitis of infectious and unspecified origin (A09),no.,102,181,283,238,346,584,2.1,A09,Other gastroenteritis and colitis of infectious and unspecified origin,FALSE,FALSE,2.0636042402826855,2.3333333333333335,1.9116022099447514
Tuberculosis  (A15-A19),no.,34,13,47,75,41,116,2.5,A15-A19,Tuberculosis,FALSE,FALSE,2.4680851063829787,2.2058823529411766,3.1538461538461537
"Respiratory tuberculosis, bacteriologically and histologically confirmed (A15)",no.,0,1,1,0,1,1,1,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",FALSE,FALSE,1,NA,1
"Respiratory tuberculosis, not confirmed bacteriologically or histologically (A16)",no.,28,10,38,66,35,101,2.7,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",FALSE,FALSE,2.6578947368421053,2.357142857142857,3.5
Tuberculosis of nervous system (A17),no.,2,0,2,2,2,4,2,A17,Tuberculosis of nervous system,FALSE,FALSE,2,1,NA
Tuberculosis of other organs (A18),no.,1,0,1,2,1,3,3,A18,Tuberculosis of other organs,FALSE,FALSE,3,2,NA
Miliary tuberculosis (A19),no.,3,2,5,5,2,7,1.4,A19,Miliary tuberculosis,FALSE,FALSE,1.4,1.6666666666666667,1
Certain zoonotic bacterial diseases  (A20-A28),no.,6,4,10,15,8,23,2.2999999999999998,A20-A28,Certain zoonotic bacterial diseases,FALSE,FALSE,2.3,2.5,2
Plague (A20),no.,0,0,0,0,0,0,—,A20,Plague,FALSE,FALSE,NA,NA,NA
Tularaemia (A21),no.,0,0,0,0,0,0,—,A21,Tularaemia,FALSE,FALSE,NA,NA,NA
Anthrax (A22),no.,0,0,0,0,0,0,—,A22,Anthrax,FALSE,FALSE,NA,NA,NA
Brucellosis (A23),no.,0,0,0,0,0,0,—,A23,Brucellosis,FALSE,FALSE,NA,NA,NA
Glanders and melioidosis (A24),no.,5,4,9,13,6,19,2.1,A24,Glanders and melioidosis,FALSE,FALSE,2.111111111111111,2.6,1.5
Rat-bite fevers (A25),no.,0,0,0,0,0,0,—,A25,Rat-bite fevers,FALSE,FALSE,NA,NA,NA
Erysipeloid (A26),no.,0,0,0,1,0,1,—,A26,Erysipeloid,FALSE,FALSE,NA,NA,NA
Leptospirosis (A27),no.,0,0,0,0,0,0,—,A27,Leptospirosis,FALSE,FALSE,NA,NA,NA
"Other zoonotic bacterial diseases, not elsewhere classified (A28)",no.,1,0,1,1,2,3,3,A28,"Other zoonotic bacterial diseases, not elsewhere classified",FALSE,FALSE,3,1,NA
Other bacterial diseases  (A30-A49),no.,980,1022,2002,8268,7310,15578,7.8,A30-A49,Other bacterial diseases,FALSE,FALSE,7.781218781218781,8.43673469387755,7.152641878669276
Leprosy [Hansen's disease] (A30),no.,0,0,0,1,0,1,—,A30,Leprosy [Hansen's disease],FALSE,FALSE,NA,NA,NA
Infection due to other mycobacteria (A31),no.,12,12,24,43,31,74,3.1,A31,Infection due to other mycobacteria,FALSE,FALSE,3.0833333333333335,3.5833333333333335,2.5833333333333335
Listeriosis (A32),no.,1,2,3,4,4,8,2.7,A32,Listeriosis,FALSE,FALSE,2.6666666666666665,4,2
Tetanus neonatorum (A33),no.,0,0,0,0,0,0,—,A33,Tetanus neonatorum,FALSE,FALSE,NA,NA,NA
Obstetrical tetanus (A34),no.,0,0,0,0,0,0,—,A34,Obstetrical tetanus,FALSE,FALSE,NA,NA,NA
Other tetanus (A35),no.,0,0,0,0,0,0,—,A35,Other tetanus,FALSE,FALSE,NA,NA,NA
Diphtheria (A36),no.,0,0,0,0,0,0,—,A36,Diphtheria,FALSE,FALSE,NA,NA,NA
Whooping cough (A37),no.,2,3,5,4,5,9,1.8,A37,Whooping cough,FALSE,FALSE,1.8,2,1.6666666666666667
Scarlet fever (A38),no.,0,0,0,0,0,0,—,A38,Scarlet fever,FALSE,FALSE,NA,NA,NA
Meningococcal infection (A39),no.,2,4,6,2,4,6,1,A39,Meningococcal infection,FALSE,FALSE,1,1,1
Streptococcal sepsis (A40),no.,30,16,46,111,71,182,4,A40,Streptococcal sepsis,FALSE,FALSE,3.9565217391304346,3.7,4.4375
Other sepsis (A41),no.,747,871,1618,7178,6631,13809,8.5,A41,Other sepsis,FALSE,FALSE,8.534610630407911,9.609103078982598,7.6130884041331806
Actinomycosis (A42),no.,0,1,1,1,2,3,3,A42,Actinomycosis,FALSE,FALSE,3,NA,2
Nocardiosis (A43),no.,4,1,5,11,3,14,2.8,A43,Nocardiosis,FALSE,FALSE,2.8,2.75,3
Bartonellosis (A44),no.,0,0,0,1,0,1,—,A44,Bartonellosis,FALSE,FALSE,NA,NA,NA
Erysipelas (A46),no.,0,0,0,0,0,0,—,A46,Erysipelas,FALSE,FALSE,NA,NA,NA
"Other bacterial diseases, not elsewhere classified (A48)",no.,15,3,18,31,10,41,2.2999999999999998,A48,"Other bacterial diseases, not elsewhere classified",FALSE,FALSE,2.2777777777777777,2.066666666666667,3.3333333333333335
Bacterial infection of unspecified site (A49),no.,167,109,276,881,549,1430,5.2,A49,Bacterial infection of unspecified site,FALSE,FALSE,5.181159420289855,5.275449101796407,5.036697247706422
Infections with a predominantly sexual mode of transmission  (A50-A64),no.,0,0,0,9,3,12,—,A50-A64,Infections with a predominantly sexual mode of transmission,FALSE,FALSE,NA,NA,NA
Congenital syphilis (A50),no.,0,0,0,1,1,2,—,A50,Congenital syphilis,FALSE,FALSE,NA,NA,NA
Early syphilis (A51),no.,0,0,0,0,1,1,—,A51,Early syphilis,FALSE,FALSE,NA,NA,NA
Late syphilis (A52),no.,0,0,0,3,0,3,—,A52,Late syphilis,FALSE,FALSE,NA,NA,NA
Other and unspecified syphilis (A53),no.,0,0,0,4,1,5,—,A53,Other and unspecified syphilis,FALSE,FALSE,NA,NA,NA
Gonococcal infection (A54),no.,0,0,0,1,0,1,—,A54,Gonococcal infection,FALSE,FALSE,NA,NA,NA
Chlamydial lymphogranuloma (venereum) (A55),no.,0,0,0,0,0,0,—,A55,Chlamydial lymphogranuloma,FALSE,FALSE,NA,NA,NA
Other sexually transmitted chlamydial diseases (A56),no.,0,0,0,0,0,0,—,A56,Other sexually transmitted chlamydial diseases,FALSE,FALSE,NA,NA,NA
Chancroid (A57),no.,0,0,0,0,0,0,—,A57,Chancroid,FALSE,FALSE,NA,NA,NA
Granuloma inguinale (A58),no.,0,0,0,0,0,0,—,A58,Granuloma inguinale,FALSE,FALSE,NA,NA,NA
Trichomoniasis (A59),no.,0,0,0,0,0,0,—,A59,Trichomoniasis,FALSE,FALSE,NA,NA,NA
Anogenital herpesviral [herpes simplex] infection (A60),no.,0,0,0,0,0,0,—,A60,Anogenital herpesviral [herpes simplex] infection,FALSE,FALSE,NA,NA,NA
"Other predominantly sexually transmitted diseases, not elsewhere classified (A63)",no.,0,0,0,0,0,0,—,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",FALSE,FALSE,NA,NA,NA
Unspecified sexually transmitted disease (A64),no.,0,0,0,0,0,0,—,A64,Unspecified sexually transmitted disease,FALSE,FALSE,NA,NA,NA
Other spirochaetal diseases  (A65-A69),no.,0,0,0,3,1,4,—,A65-A69,Other spirochaetal diseases,FALSE,FALSE,NA,NA,NA
Nonvenereal syphilis (A65),no.,0,0,0,0,0,0,—,A65,Nonvenereal syphilis,FALSE,FALSE,NA,NA,NA
Yaws (A66),no.,0,0,0,0,0,0,—,A66,Yaws,FALSE,FALSE,NA,NA,NA
Pinta [carate] (A67),no.,0,0,0,0,0,0,—,A67,Pinta [carate],FALSE,FALSE,NA,NA,NA
Relapsing fevers (A68),no.,0,0,0,0,0,0,—,A68,Relapsing fevers,FALSE,FALSE,NA,NA,NA
Other spirochaetal infections (A69),no.,0,0,0,3,1,4,—,A69,Other spirochaetal infections,FALSE,FALSE,NA,NA,NA
Other diseases caused by chlamydiae  (A70-A74),no.,1,0,1,2,1,3,3,A70-A74,Other diseases caused by chlamydiae,FALSE,FALSE,3,2,NA
Chlamydia psittaci infection (A70),no.,1,0,1,1,1,2,2,A70,Chlamydia psittaci infection,FALSE,FALSE,2,1,NA
Trachoma (A71),no.,0,0,0,0,0,0,—,A71,Trachoma,FALSE,FALSE,NA,NA,NA
Other diseases caused by chlamydiae (A74),no.,0,0,0,1,0,1,—,A74,Other diseases caused by chlamydiae,FALSE,FALSE,NA,NA,NA
Rickettsioses  (A75-A79),no.,0,2,2,3,2,5,2.5,A75-A79,Rickettsioses,FALSE,FALSE,2.5,NA,1
Typhus fever (A75),no.,0,0,0,0,0,0,—,A75,Typhus fever,FALSE,FALSE,NA,NA,NA
Spotted fever [tick-borne rickettsioses] (A77),no.,0,1,1,0,1,1,1,A77,Spotted fever [tick-borne rickettsioses],FALSE,FALSE,1,NA,1
Q fever (A78),no.,0,1,1,3,1,4,4,A78,Q fever,FALSE,FALSE,4,NA,1
Other rickettsioses (A79),no.,0,0,0,0,0,0,—,A79,Other rickettsioses,FALSE,FALSE,NA,NA,NA
Viral infections of the central nervous system  (A80-A89),no.,52,40,92,69,45,114,1.2,A80-A89,Viral infections of the central nervous system,FALSE,FALSE,1.2391304347826086,1.3269230769230769,1.125
Acute poliomyelitis (A80),no.,0,0,0,0,0,0,—,A80,Acute poliomyelitis,FALSE,FALSE,NA,NA,NA
Slow virus infections of central nervous system (A81),no.,39,34,73,51,35,86,1.2,A81,Slow virus infections of central nervous system,FALSE,FALSE,1.178082191780822,1.3076923076923077,1.0294117647058822
Rabies (A82),no.,0,0,0,0,0,0,—,A82,Rabies,FALSE,FALSE,NA,NA,NA
Mosquito-borne viral encephalitis (A83),no.,2,0,2,2,0,2,1,A83,Mosquito-borne viral encephalitis,FALSE,FALSE,1,1,NA
Tick-borne viral encephalitis (A84),no.,0,0,0,0,0,0,—,A84,Tick-borne viral encephalitis,FALSE,FALSE,NA,NA,NA
"Other viral encephalitis, not elsewhere classified (A85)",no.,1,0,1,1,0,1,1,A85,"Other viral encephalitis, not elsewhere classified",FALSE,FALSE,1,1,NA
Unspecified viral encephalitis (A86),no.,9,6,15,14,8,22,1.5,A86,Unspecified viral encephalitis,FALSE,FALSE,1.4666666666666666,1.5555555555555556,1.3333333333333333
Viral meningitis (A87),no.,1,0,1,1,1,2,2,A87,Viral meningitis,FALSE,FALSE,2,1,NA
"Other viral infections of central nervous system, not elsewhere classified (A88)",no.,0,0,0,0,0,0,—,A88,"Other viral infections of central nervous system, not elsewhere classified",FALSE,FALSE,NA,NA,NA
Unspecified viral infection of central nervous system (A89),no.,0,0,0,0,1,1,—,A89,Unspecified viral infection of central nervous system,FALSE,FALSE,NA,NA,NA
Arthropod-borne viral fevers and viral haemorrhagic fevers (A90-A99),no.,0,0,0,0,0,0,—,A90-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,FALSE,FALSE,NA,NA,NA
Dengue fever [classical dengue] (A90),no.,0,0,0,0,0,0,—,A90,Dengue fever [classical dengue],FALSE,FALSE,NA,NA,NA
Dengue haemorrhagic fever (A91),no.,0,0,0,0,0,0,—,A91,Dengue haemorrhagic fever,FALSE,FALSE,NA,NA,NA
Other mosquito-borne viral fevers (A92),no.,0,0,0,0,0,0,—,A92,Other mosquito-borne viral fevers,FALSE,FALSE,NA,NA,NA
"Other arthropod-borne viral fevers, not elsewhere classified (A93)",no.,0,0,0,0,0,0,—,A93,"Other arthropod-borne viral fevers, not elsewhere classified",FALSE,FALSE,NA,NA,NA
Unspecified arthropod-borne viral fever (A94),no.,0,0,0,0,0,0,—,A94,Unspecified arthropod-borne viral fever,FALSE,FALSE,NA,NA,NA
Yellow fever (A95),no.,0,0,0,0,0,0,—,A95,Yellow fever,FALSE,FALSE,NA,NA,NA
Arenaviral haemorrhagic fever (A96),no.,0,0,0,0,0,0,—,A96,Arenaviral haemorrhagic fever,FALSE,FALSE,NA,NA,NA
Dengue (A97),no.,0,0,0,0,0,0,—,A97,Dengue,FALSE,FALSE,NA,NA,NA
"Other viral haemorrhagic fevers, not elsewhere classified (A98)",no.,0,0,0,0,0,0,—,A98,"Other viral haemorrhagic fevers, not elsewhere classified",FALSE,FALSE,NA,NA,NA
Unspecified viral haemorrhagic fever (A99),no.,0,0,0,0,0,0,—,A99,Unspecified viral haemorrhagic fever,FALSE,FALSE,NA,NA,NA
Viral infections characterized by skin and mucous membrane lesions (B00-B09),no.,42,43,85,128,143,271,3.2,B00-B09,Viral infections characterized by skin and mucous membrane lesions,FALSE,FALSE,3.1882352941176473,3.0476190476190474,3.3255813953488373
Herpesviral [herpes simplex] infections (B00),no.,18,11,29,44,41,85,2.9,B00,Herpesviral [herpes simplex] infections,FALSE,FALSE,2.9310344827586206,2.4444444444444446,3.727272727272727
Varicella [chickenpox] (B01),no.,6,3,9,14,6,20,2.2000000000000002,B01,Varicella [chickenpox],FALSE,FALSE,2.2222222222222223,2.3333333333333335,2
Zoster [herpes zoster] (B02),no.,16,29,45,65,96,161,3.6,B02,Zoster [herpes zoster],FALSE,FALSE,3.577777777777778,4.0625,3.310344827586207
Smallpox (B03),no.,0,0,0,0,0,0,—,B03,Smallpox,FALSE,FALSE,NA,NA,NA
Monkeypox (B04),no.,0,0,0,0,0,0,—,B04,Monkeypox,FALSE,FALSE,NA,NA,NA
Measles (B05),no.,1,0,1,3,0,3,3,B05,Measles,FALSE,FALSE,3,3,NA
Rubella [German measles] (B06),no.,1,0,1,2,0,2,2,B06,Rubella [German measles],FALSE,FALSE,2,2,NA
Viral warts (B07),no.,0,0,0,0,0,0,—,B07,Viral warts,FALSE,FALSE,NA,NA,NA
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified (B08)",no.,0,0,0,0,0,0,—,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",FALSE,FALSE,NA,NA,NA
Unspecified viral infection characterized by skin and mucous membrane lesions (B09),no.,0,0,0,0,0,0,—,B09,Unspecified viral infection characterized by skin and mucous membrane lesions,FALSE,FALSE,NA,NA,NA
Viral hepatitis  (B15-B19),no.,64,20,84,571,197,768,9.1,B15-B19,Viral hepatitis,FALSE,FALSE,9.142857142857142,8.921875,9.85
Acute hepatitis A (B15),no.,0,1,1,4,1,5,5,B15,Acute hepatitis A,FALSE,FALSE,5,NA,1
Acute hepatitis B (B16),no.,1,0,1,9,2,11,11,B16,Acute hepatitis B,FALSE,FALSE,11,9,NA
Other acute viral hepatitis (B17),no.,0,1,1,5,2,7,7,B17,Other acute viral hepatitis,FALSE,FALSE,7,NA,2
