cause,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,ratio,icd_code,mur_male,mur_female,mur_persons
Total deaths,no.,98467,88801,187268,350271,302539,652810,3.5,NA,3.5572425279535276,3.4069323543653787,3.4859666360510073
Causes of death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHAPTER I Certain infectious and parasitic diseases (A00-B99),no.,1532,1576,3108,10940,9427,20367,6.6,A00-B99,7.140992167101827,5.981598984771574,6.553088803088803
Intestinal infectious diseases  (A00-A09),no.,158,256,414,431,528,959,2.3,A00-A09,2.7278481012658227,2.0625,2.316425120772947
Cholera (A00),no.,0,0,0,0,0,0,NA,A00,NA,NA,NA
Typhoid and paratyphoid fevers (A01),no.,0,0,0,0,0,0,NA,A01,NA,NA,NA
Other salmonella infections (A02),no.,6,1,7,9,6,15,2.1,A02,1.5,6,2.142857142857143
Shigellosis (A03),no.,0,0,0,0,1,1,NA,A03,NA,NA,NA
Other bacterial intestinal infections (A04),no.,38,57,95,148,141,289,3,A04,3.8947368421052633,2.473684210526316,3.042105263157895
"Other bacterial foodborne intoxications, not elsewhere classified (A05)",no.,0,1,1,1,1,2,2,A05,NA,1,2
Amoebiasis (A06),no.,0,0,0,0,0,0,NA,A06,NA,NA,NA
Other protozoal intestinal diseases (A07),no.,0,0,0,1,0,1,NA,A07,NA,NA,NA
Viral and other specified intestinal infections (A08),no.,12,16,28,34,33,67,2.4,A08,2.8333333333333335,2.0625,2.392857142857143
Other gastroenteritis and colitis of infectious and unspecified origin (A09),no.,102,181,283,238,346,584,2.1,A09,2.3333333333333335,1.9116022099447514,2.0636042402826855
Tuberculosis  (A15-A19),no.,34,13,47,75,41,116,2.5,A15-A19,2.2058823529411766,3.1538461538461537,2.4680851063829787
"Respiratory tuberculosis, bacteriologically and histologically confirmed (A15)",no.,0,1,1,0,1,1,1,A15,NA,1,1
"Respiratory tuberculosis, not confirmed bacteriologically or histologically (A16)",no.,28,10,38,66,35,101,2.7,A16,2.357142857142857,3.5,2.6578947368421053
Tuberculosis of nervous system (A17),no.,2,0,2,2,2,4,2,A17,1,NA,2
Tuberculosis of other organs (A18),no.,1,0,1,2,1,3,3,A18,2,NA,3
Miliary tuberculosis (A19),no.,3,2,5,5,2,7,1.4,A19,1.6666666666666667,1,1.4
Certain zoonotic bacterial diseases  (A20-A28),no.,6,4,10,15,8,23,2.3,A20-A28,2.5,2,2.3
Plague (A20),no.,0,0,0,0,0,0,NA,A20,NA,NA,NA
Tularaemia (A21),no.,0,0,0,0,0,0,NA,A21,NA,NA,NA
Anthrax (A22),no.,0,0,0,0,0,0,NA,A22,NA,NA,NA
Brucellosis (A23),no.,0,0,0,0,0,0,NA,A23,NA,NA,NA
Glanders and melioidosis (A24),no.,5,4,9,13,6,19,2.1,A24,2.6,1.5,2.111111111111111
Rat-bite fevers (A25),no.,0,0,0,0,0,0,NA,A25,NA,NA,NA
Erysipeloid (A26),no.,0,0,0,1,0,1,NA,A26,NA,NA,NA
Leptospirosis (A27),no.,0,0,0,0,0,0,NA,A27,NA,NA,NA
"Other zoonotic bacterial diseases, not elsewhere classified (A28)",no.,1,0,1,1,2,3,3,A28,1,NA,3
Other bacterial diseases  (A30-A49),no.,980,1022,2002,8268,7310,15578,7.8,A30-A49,8.43673469387755,7.152641878669276,7.781218781218781
Leprosy [Hansen's disease] (A30),no.,0,0,0,1,0,1,NA,A30,NA,NA,NA
Infection due to other mycobacteria (A31),no.,12,12,24,43,31,74,3.1,A31,3.5833333333333335,2.5833333333333335,3.0833333333333335
Listeriosis (A32),no.,1,2,3,4,4,8,2.7,A32,4,2,2.6666666666666665
Tetanus neonatorum (A33),no.,0,0,0,0,0,0,NA,A33,NA,NA,NA
Obstetrical tetanus (A34),no.,0,0,0,0,0,0,NA,A34,NA,NA,NA
Other tetanus (A35),no.,0,0,0,0,0,0,NA,A35,NA,NA,NA
Diphtheria (A36),no.,0,0,0,0,0,0,NA,A36,NA,NA,NA
Whooping cough (A37),no.,2,3,5,4,5,9,1.8,A37,2,1.6666666666666667,1.8
Scarlet fever (A38),no.,0,0,0,0,0,0,NA,A38,NA,NA,NA
Meningococcal infection (A39),no.,2,4,6,2,4,6,1,A39,1,1,1
Streptococcal sepsis (A40),no.,30,16,46,111,71,182,4,A40,3.7,4.4375,3.9565217391304346
Other sepsis (A41),no.,747,871,1618,7178,6631,13809,8.5,A41,9.609103078982598,7.6130884041331806,8.534610630407911
Actinomycosis (A42),no.,0,1,1,1,2,3,3,A42,NA,2,3
Nocardiosis (A43),no.,4,1,5,11,3,14,2.8,A43,2.75,3,2.8
Bartonellosis (A44),no.,0,0,0,1,0,1,NA,A44,NA,NA,NA
Erysipelas (A46),no.,0,0,0,0,0,0,NA,A46,NA,NA,NA
"Other bacterial diseases, not elsewhere classified (A48)",no.,15,3,18,31,10,41,2.3,A48,2.066666666666667,3.3333333333333335,2.2777777777777777
Bacterial infection of unspecified site (A49),no.,167,109,276,881,549,1430,5.2,A49,5.275449101796407,5.036697247706422,5.181159420289855
Infections with a predominantly sexual mode of transmission  (A50-A64),no.,0,0,0,9,3,12,NA,A50-A64,NA,NA,NA
Congenital syphilis (A50),no.,0,0,0,1,1,2,NA,A50,NA,NA,NA
