pct,f_per_cert,removed_male,removed_female,mur_m,mur_f,ratio,diff,pct_explained
0.3,1,758.1,233.39999999999998,4.771511744629593,3.00905383360522,1.5857183049838393,1.7624579110243728,6.397972358438255
0.5,1,1263.5,389,4.670046175466774,2.987901033170201,1.5629855619788702,1.6821451422965725,10.663287264063799
0.7,1,1768.8999999999999,544.5999999999999,4.5685806063039545,2.966748232735182,1.5399286518128197,1.6018323735687723,14.928602169689341
1,1,2527,778,4.416382252559727,2.9350190320826535,1.5047201412612021,1.481363220477074,21.326574528127548
0.3,2,1516.2,466.79999999999995,4.619313390885364,2.977324632952692,1.5514980596201458,1.6419887579326722,12.795944716876582
0.5,2,2527,778,4.416382252559727,2.9350190320826535,1.5047201412612021,1.481363220477074,21.326574528127548
0.7,2,3537.7999999999997,1089.1999999999998,4.21345111423409,2.8927134312126155,1.4565739795620978,1.3207376830214743,29.857204339378587
1,2,5054,1556,3.9090544067456334,2.8292550299075585,1.3816550171065192,1.079799376838075,42.653149056255145
0.3,3,2274.3,700.1999999999999,4.467115037141136,2.945595432300163,1.516540590794183,1.521519604840973,19.19391707531484
0.5,3,3790.5,1167,4.16271832965268,2.882137030995106,1.4443165903931472,1.280581298657574,31.98986179219137
0.7,3,5306.7,1633.7999999999997,3.858321622164224,2.8186786296900492,1.3688405558275711,1.0396429924741746,44.785806509067925
1,3,7581,2334,3.40172656093154,2.723491027732463,1.249031675262674,0.6782355331990768,63.9797235843827
